order_detail_id,order_id,product_id,quantity,price
1,46,7,10,5478.67
2,35,17,1,6992.1
3,51,15,2,3369.91
4,11,33,8,9818.68
5,48,48,6,685.71
6,52,34,2,5909.62
7,59,36,9,2784.21
8,73,38,7,4826.74
9,32,45,4,8525.49
10,90,37,7,9372.43
11,29,15,4,6725.63
12,39,29,8,9345.83
13,88,24,5,1162.28
14,11,26,6,167.62
15,84,30,5,5909.62
16,84,50,6,7214.12
17,98,44,9,602.58
18,5,38,10,8903.67
19,12,45,3,619.66
20,52,33,10,2012.3
21,49,10,8,7900.81
22,49,23,6,1181.34
23,71,2,1,7214.12
24,61,31,1,4643.25
25,8,7,2,6992.1
26,82,19,8,8779.76
27,2,27,1,8287.2
28,90,6,2,619.66
29,22,8,3,7583.52
30,11,47,8,985.66
31,64,10,8,3279.56
32,56,23,1,7258.87
33,83,20,7,7900.81
34,43,22,4,6725.63
35,73,30,3,167.62
36,13,14,5,7258.87
37,68,34,3,7258.87
38,6,31,5,3054.08
39,30,23,2,685.71
40,28,31,6,4826.74
41,89,7,5,1181.34
42,73,29,2,9781.32
43,61,47,6,619.66
44,35,45,3,2743.24
45,6,29,1,2743.24
46,10,21,7,7214.12
47,88,5,5,602.58
48,36,20,4,3369.91
49,70,3,7,602.58
50,73,46,2,1095.39
51,85,8,2,3054.08
52,5,2,1,1162.28
53,23,22,4,7258.87
54,41,42,8,9372.43
55,3,7,2,2334.15
56,27,44,3,2801.09
57,76,11,10,4237.06
58,19,48,4,2743.24
59,97,16,9,4128.38
60,92,34,8,3054.08
61,51,12,1,2398.98
62,10,36,1,1162.28
63,39,11,6,3279.56
64,21,22,2,2334.15
65,73,36,7,5909.62
66,31,28,3,1095.39
67,73,30,8,3346.47
68,50,15,2,2398.98
69,87,26,4,9818.68
70,70,41,7,6725.63
71,43,12,2,7392.52
72,50,12,2,2784.21
73,97,41,2,4128.38
74,95,43,6,7258.87
75,18,28,6,3369.91
76,89,26,5,5909.62
